,User,Tweet Data,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
120,CBS News,"""I think that everything that happens in North Korea happens with and by the direction of their leadership,"" Bosser… https://t.co/GFC5njzPOA",Tue Dec 19 14:27:17 +0000 2017,0.0,0.0,1.0,0.0,80
121,CBS News,"""We had to examine a lot. We had to put it together in a way that allowed us to make a confident attribution,"" Boss… https://t.co/v3efPuONa5",Tue Dec 19 14:23:06 +0000 2017,0.4939,0.132,0.868,0.0,79
122,CBS News,"""As we make the internet safer, we will continue to hold accountable those who harm us or attempt to threaten us, w… https://t.co/LLzHcNoZnQ",Tue Dec 19 14:20:10 +0000 2017,-0.5106,0.097,0.692,0.211,78
123,CBS News,"""After careful investigation, the United States is publicly attributing the massive cyber attack to North Korea. We… https://t.co/0YMCkDyzVx",Tue Dec 19 14:18:12 +0000 2017,0.0772,0.196,0.667,0.138,77
124,CBS News,"""North Korea has acted especially badly, largely unchecked, for more than a decade,"" Bossert says… https://t.co/D9OaeREsQx",Tue Dec 19 14:16:06 +0000 2017,-0.5256,0.0,0.805,0.195,76
125,CBS News,"President Trump talked about rescinding his nomination of Neil Gorsuch to serve as a Supreme Court justice, accordi… https://t.co/kkQm9GzBkE",Tue Dec 19 14:15:01 +0000 2017,0.7906,0.304,0.696,0.0,75
126,CBS News,WATCH LIVE: White House homeland security adviser Tom Bossert gives an update on a massive cyber attack that happen… https://t.co/2GYIO7ekFh,Tue Dec 19 14:12:50 +0000 2017,-0.1779,0.107,0.756,0.138,74
127,CBS News,"H.R. McMaster says the Trump administration will confront Russia's ""destabilizing behavior"" https://t.co/zEhbgluboB https://t.co/2tsUkJBdGS",Tue Dec 19 14:00:03 +0000 2017,-0.1779,0.0,0.876,0.124,73
128,CBS News,"Aaron Sorkin is one of Hollywood's most sought-after writers. But he is making his directorial debut in ""Molly's Ga… https://t.co/FCJaK22k6c",Tue Dec 19 13:46:15 +0000 2017,0.0,0.0,1.0,0.0,72
129,CBS News,"“For the first time, I think maybe ever, you have a culture in which women now feel comfortable stepping forward,”… https://t.co/qqGl7Pvs5P",Tue Dec 19 13:43:49 +0000 2017,0.5106,0.155,0.845,0.0,71
